Palabra              Idf                 
vi                  : 0.47712125471966244 
ojos                : 0.47712125471966244 
filosof             : 0.47712125471966244 
har                 : 0.17609125905568124 
promedi             : 0.47712125471966244 
añad                : 0.17609125905568124 
formal              : 0.47712125471966244 
youtub              : 0.47712125471966244 
quis                : 0.17609125905568124 
tiend               : 0.47712125471966244 
examen              : 0.17609125905568124 
reprob              : 0.47712125471966244 
expresion           : 0.17609125905568124 
diner               : 0.17609125905568124 
pie                 : 0.47712125471966244 
dan                 : 0.17609125905568124 
president           : 0.47712125471966244 
produc              : 0.47712125471966244 
presion             : 0.17609125905568124 
dueñ                : 0.47712125471966244 
maner               : 0.0                 
telefon             : 0.47712125471966244 
gradu               : 0.47712125471966244 
proced              : 0.47712125471966244 
pobr                : 0.47712125471966244 
cinc                : 0.47712125471966244 
divid               : 0.47712125471966244 
reform              : 0.47712125471966244 
admir               : 0.47712125471966244 
extrem              : 0.47712125471966244 
metodolog           : 0.47712125471966244 
fastidi             : 0.47712125471966244 
fisic               : 0.47712125471966244 
lider               : 0.47712125471966244 
junt                : 0.47712125471966244 
bloqu               : 0.47712125471966244 
drak                : 0.47712125471966244 
adecu               : 0.17609125905568124 
sencill             : 0.0                 
actu                : 0.47712125471966244 
entras              : 0.47712125471966244 
criteri             : 0.47712125471966244 
for                 : 0.47712125471966244 
cubiert             : 0.47712125471966244 
observ              : 0.47712125471966244 
cantid              : 0.17609125905568124 
lug                 : 0.17609125905568124 
amenaz              : 0.47712125471966244 
tendr               : 0.47712125471966244 
jueg                : 0.17609125905568124 
exam                : 0.17609125905568124 
activ               : 0.17609125905568124 
elen                : 0.47712125471966244 
viend               : 0.47712125471966244 
camin               : 0.47712125471966244 
rat                 : 0.17609125905568124 
cuatr               : 0.47712125471966244 
lun                 : 0.17609125905568124 
bañ                 : 0.47712125471966244 
das                 : 0.0                 
brom                : 0.47712125471966244 
preci               : 0.47712125471966244 
networking          : 0.47712125471966244 
vendedor            : 0.47712125471966244 
incorrect           : 0.47712125471966244 
pen                 : 0.17609125905568124 
nadi                : 0.17609125905568124 
atras               : 0.47712125471966244 
manual              : 0.47712125471966244 
acostumbr           : 0.47712125471966244 
dijeron             : 0.47712125471966244 
solicit             : 0.47712125471966244 
not                 : 0.17609125905568124 
usarl               : 0.17609125905568124 
pierd               : 0.17609125905568124 
mir                 : 0.17609125905568124 
paper               : 0.17609125905568124 
convencional        : 0.47712125471966244 
indic               : 0.47712125471966244 
ose                 : 0.47712125471966244 
pantall             : 0.47712125471966244 
levant              : 0.17609125905568124 
temor               : 0.47712125471966244 
variabl             : 0.17609125905568124 
apoy                : 0.47712125471966244 
equivoc             : 0.47712125471966244 
error               : 0.17609125905568124 
light               : 0.47712125471966244 
igual               : 0.0                 
posterior           : 0.47712125471966244 
vem                 : 0.17609125905568124 
gust                : 0.17609125905568124 
escrib              : 0.17609125905568124 
ahi                 : 0.47712125471966244 
busqu               : 0.17609125905568124 
enseñ               : 0.47712125471966244 
frec                : 0.47712125471966244 
asoci               : 0.47712125471966244 
comill              : 0.47712125471966244 
cre                 : 0.0                 
enfasis             : 0.47712125471966244 
semestr             : 0.17609125905568124 
intercambi          : 0.47712125471966244 
orden               : 0.0                 
comprador           : 0.47712125471966244 
fich                : 0.47712125471966244 
coment              : 0.17609125905568124 
